Initial setup information
Sensor Model, MA24126A
Sensor Serial No, 1833505
Frequency, 0.01, GHz
Fixed Offset, 0, dB
Sample Interval, Full Speed
Any setup information is not updated during data logging.
7:59:7, -14.369 ,dBm
7:59:7, -14.363 ,dBm
7:59:7, -14.362 ,dBm
7:59:7, -14.37 ,dBm
7:59:7, -14.368 ,dBm
7:59:7, -14.369 ,dBm
7:59:7, -14.373 ,dBm
7:59:7, -14.377 ,dBm
7:59:8, -14.364 ,dBm
7:59:8, -14.358 ,dBm
7:59:8, -14.369 ,dBm
7:59:8, -14.37 ,dBm
7:59:8, -14.361 ,dBm
7:59:8, -14.365 ,dBm
7:59:8, -14.363 ,dBm
7:59:8, -14.352 ,dBm
7:59:8, -14.343 ,dBm
7:59:8, -14.349 ,dBm
7:59:9, -14.352 ,dBm
7:59:9, -14.355 ,dBm
7:59:9, -14.36 ,dBm
7:59:9, -14.377 ,dBm
7:59:9, -14.384 ,dBm
7:59:9, -14.392 ,dBm
7:59:9, -14.404 ,dBm
7:59:9, -14.409 ,dBm
7:59:9, -14.406 ,dBm
7:59:9, -14.418 ,dBm
7:59:9, -14.421 ,dBm
7:59:10, -14.427 ,dBm
7:59:10, -14.431 ,dBm
7:59:10, -14.436 ,dBm
7:59:10, -14.433 ,dBm
7:59:10, -14.429 ,dBm
7:59:10, -14.433 ,dBm
7:59:10, -14.445 ,dBm
7:59:10, -14.448 ,dBm
7:59:10, -14.454 ,dBm
7:59:11, -14.455 ,dBm
7:59:11, -14.449 ,dBm
7:59:11, -14.435 ,dBm
7:59:11, -14.426 ,dBm
7:59:11, -14.432 ,dBm
7:59:11, -14.429 ,dBm
7:59:11, -14.434 ,dBm
7:59:11, -14.434 ,dBm
7:59:11, -14.425 ,dBm
7:59:11, -14.42 ,dBm
7:59:12, -14.422 ,dBm
7:59:12, -14.427 ,dBm
7:59:12, -14.436 ,dBm
7:59:12, -14.438 ,dBm
7:59:12, -14.442 ,dBm
7:59:12, -14.435 ,dBm
7:59:12, -14.43 ,dBm
7:59:12, -14.429 ,dBm
7:59:12, -14.42 ,dBm
7:59:12, -14.415 ,dBm
7:59:13, -14.414 ,dBm
7:59:13, -14.408 ,dBm
7:59:13, -14.409 ,dBm
7:59:13, -14.4 ,dBm
7:59:13, -14.398 ,dBm
7:59:13, -14.398 ,dBm
7:59:13, -14.399 ,dBm
7:59:13, -14.4 ,dBm
7:59:13, -14.393 ,dBm
7:59:13, -14.392 ,dBm
7:59:14, -14.395 ,dBm
7:59:14, -14.392 ,dBm
7:59:14, -14.39 ,dBm
7:59:14, -14.385 ,dBm
7:59:14, -14.384 ,dBm
7:59:14, -14.374 ,dBm
7:59:14, -14.366 ,dBm
7:59:14, -14.371 ,dBm
7:59:14, -14.377 ,dBm
7:59:15, -14.376 ,dBm
7:59:15, -14.373 ,dBm
7:59:15, -14.374 ,dBm
7:59:15, -14.364 ,dBm
7:59:15, -14.355 ,dBm
7:59:15, -14.356 ,dBm
7:59:15, -14.36 ,dBm
7:59:15, -14.359 ,dBm
7:59:15, -14.363 ,dBm
7:59:15, -14.38 ,dBm
7:59:15, -14.382 ,dBm
7:59:16, -14.377 ,dBm
7:59:16, -14.369 ,dBm
7:59:16, -14.363 ,dBm
7:59:16, -14.358 ,dBm
7:59:16, -14.358 ,dBm
7:59:16, -14.363 ,dBm
7:59:16, -14.361 ,dBm
7:59:16, -14.356 ,dBm
7:59:16, -14.348 ,dBm
7:59:16, -14.347 ,dBm
7:59:17, -14.354 ,dBm
7:59:17, -14.363 ,dBm
7:59:17, -14.369 ,dBm
7:59:17, -14.368 ,dBm
7:59:17, -14.356 ,dBm
7:59:17, -14.349 ,dBm
7:59:17, -14.346 ,dBm
7:59:17, -14.358 ,dBm
7:59:17, -14.365 ,dBm
7:59:17, -14.37 ,dBm
7:59:18, -14.367 ,dBm
7:59:18, -14.363 ,dBm
7:59:18, -14.356 ,dBm
7:59:18, -14.356 ,dBm
7:59:18, -14.366 ,dBm
7:59:18, -14.381 ,dBm
7:59:18, -14.388 ,dBm
7:59:18, -14.385 ,dBm
7:59:18, -14.384 ,dBm
7:59:18, -14.384 ,dBm
7:59:19, -14.384 ,dBm
7:59:19, -14.389 ,dBm
7:59:19, -14.401 ,dBm
7:59:19, -14.404 ,dBm
7:59:19, -14.39 ,dBm
7:59:19, -14.382 ,dBm
7:59:19, -14.386 ,dBm
7:59:19, -14.391 ,dBm
7:59:19, -14.405 ,dBm
7:59:19, -14.408 ,dBm
7:59:20, -14.42 ,dBm
7:59:20, -14.417 ,dBm
7:59:20, -14.409 ,dBm
7:59:20, -14.413 ,dBm
7:59:20, -14.414 ,dBm
7:59:20, -14.429 ,dBm
7:59:20, -14.431 ,dBm
7:59:20, -14.439 ,dBm
7:59:20, -14.438 ,dBm
7:59:20, -14.429 ,dBm
